abaisser	to lower/bring [sth] down/demean
s'abaisser	to go down/fall
s'abaisser à	to condescend to do [sth]
abattre [qch]	to knock [sth] down/fell/slaughter/lay [sth] down
abattre [qqn]	to slay
s'abattre	to fall/strike
abolir	to annul
absoudre [qqn]	to exonerate
s'abstenir	to abstain
s'abstenir de faire [qch]	to refrain from doing [sth]/stop doing [sth]
accepter	to accept/take [sth] on/allow [sb] in/say yes
accepter de faire [qch]	to agree to do [sth]
s'accepter	to accept yourself
acclamer	to cheer/hail
accompagner	to guide/help/accompany/go with [sth]
s'accompagner	to accompany yourself/be accompanied by [sth]
accorder [qch] à [qqn]	to give [sth] to [sb]/give [sb] [sth]
s'accorder	to be in harmony/agree
s'accorder [qch]	to give yourself [sth]
accourir	to rush over
accrocher [qch]	to hang/snag
accrocher [qch] à [qch]	to hitch [sth] to [sth]
accrocher sur [qch]	to grip
accrocher	to stick
s'accrocher à [qch]	to hold onto [sth]
s'accrocher	to collide
accrocher [qqn]	to catch [sb]'s attention/have a run-in with [sb]
accueillir [qqn]	to welcome/meet/take [sb] in
accueillir [qch]	to take
accuser [qqn] de [qch]	to accuse [sb] of [sth]
accuser [qqn]	to point to [sb]
accuser [qch]	to blame/suffer/show
s'accuser	to confess
acheter	to buy/bribe
s'acheter	to sell
s'acheter [qch]	to buy
achever	to finish/kill
s'achever	to end
acquérir	to buy/gain/take on [sth]
s'acquérir	to earn
acquérir [qqn] à [qch]	to win [sb] over
adjoindre [qqn]	to enlist
adjoindre [qch]	to add
s'adjoindre [qqn]	to enlist [sb]
s'adjoindre à [qch]	to be added to [sth]/join
admettre	to admit/accept/tolerate/let in
admettre [qch]	to admit
admirer	to admire
s'admirer	to look at yourself
adorer	to like/worship
adresser	to send/express
s'adresser à [qqn]	to ask/be aimed at [sb]
advenir	to occur/come of [sth]
affaiblir	to weaken/diminish
s'affaiblir	to weaken
agacer	to annoy/tease
agir	to act/behave/take its course
agir sur [qch]	to affect
s'agir de [qch]	to be
s'agir de faire [qch]	to be a case of doing [sth]/must do
s'agir	to must
aider	to help
aider à	to help to do [sth]
s'aider	to help each other
s'aider de [qch]	to use
aimer	to love/like
aimer que + [subjonctif]	to like [sb] to do [sth]
s'aimer	to love each other/love yourself
ajouter	to add/put another
ajouter à	to add to [sth]
s'ajouter	to be added
aller	to go/lead/be/work
aller à [qqn]	to suit
aller avec [qch]	to go with [sth]
aménager	to convert/build/adjust
amener	to bring/take/lower
amuser	to amuse
s'amuser	to play/mess around
s'amuser à faire [qch]	to amuse yourself doing [sth]
s'amuser de	to laugh at [sth]
animer	to lead/stir/bring to life/animate/drive
s'animer	to liven up
annoncer [qch] à [qqn]	to announce
annoncer	to herald/forecast
s'annoncer	to declare yourself
apercevoir	to glimpse/be aware of/see
s'apercevoir de	to notice
s'apercevoir	to can be seen
apparaître	to come into being/appear/reveal yourself/seem
appartenir à	to belong to [sb]/be up to [sb]
ne plus s'appartenir	to be out of control
appeler	to call/phone
appeler de	to appeal against [sth]
s'appeler	to be called/talk
en appeler à	to appeal to
apporter	to bring/take/bear/provide/put
apporter [qch] à [qch]	to add [sth] to [sth]
apprendre	to learn
apprendre [qch] à [qqn]	to teach [sb] [sth]/tell [sb] about [sth]
approcher	to come up to/be coming/contact/move [sth] nearer
approcher de [qch]	to be almost/near
s'approcher	to get closer/be close to [sth]/echo
approcher [qch]	to be nearly [sth]
approuver	to approve of [sb]/approve of [sth]
armer	to arm/equip/pit/dub/fit
s'armer	to arm yourself
arracher	to remove/wrest/rouse
s'arracher	to be torn off
s'arracher à [qch]	to rouse yourself from [sth]
arraisonner	to inspect
arranger	to arrange/settle/suit/organize/fantasize
s'arranger	to improve/manage/reach an agreement/cope
arrêter	to halt/turn [sth] off/hold [sb] back/cut [sb] off/waylay/arrest/settle on
s'arrêter	to end/stop
s'arrêter de faire [qch]	to stop doing [sth]
s'arrêter sur	to dwell on
s'arrêter sur [qch]	to settle on [sth]
arriver	to come/reach/draw near/turn
arriver à [qch]	to reach/come to [sth]
assaillir [qqn]	to assail
assaillir [qqn] de [qch]	to assail
asseoir	to sit
s'asseoir	to sit
assister	to aid/be with
assister à [qch]	to see/attend
assurer [qch]	to insure/assure/ensure/handle/secure
s'assurer	to insure yourself
s'assurer que	to check
s'assurer de [qch]	to ensure
astreindre	to make
s'astreindre	to make yourself do [sth]
attaquer	to attack/rob/criticize/damage/head for
s'attaquer à [qqn]	to attack
s'attaquer à [qch]	to criticize
atteindre	to reach/meet/harm
attendre	to wait
attendre [qqn]	to wait for [sb]
attendre [qch]	to expect/wait for [sth]
attendre [qch] de [qqn]	to want [sth] from [sb]
s'attendre à [qch]	to expect
attirer	to attract/coax/tempt/bring
attraper	to catch/capture
s'attraper	to be caught/catch
augmenter	to increase/heighten
s'augmenter	to grow
avancer	to move/progress/be fast/jut out/help [sb] to get on more quickly/lend
avancer [qch]	to pull [sth] up/stick [sth] out/bring [sth] forward/claim
avancer que + [indicatif/conditionnel]	to suggest + [indicative]
s'avancer	to go forward/get ahead
aventurer	to risk
s'aventurer quelque part	to venture to somewhere
s'aventurer à faire [qch]	to venture to do [sth]
avoir	to own/contain/feel/be
baisser	to lower/cut/go down/dim
se baisser	to duck/go down
balancer	to rock/balance
se balancer	to rock
balayer	to sweep
bâtir	to build
battre	to hit/whisk/defeat/flap
se battre	to fight
battre de	to beat
bavarder	to chat/gossip
bêler	to bleat
bénir	to bless
blaguer sur	to joke
blâmer	to condemn/give [sb] an official warning
blanchir [qch]	to whiten/whitewash
blanchir	to pale
se blanchir	to clear your name
blesser [qqn]	to hurt
se blesser	to hurt yourself
boire	to drink/take in fluids
se boire	to be drunk
bouger	to move/be dynamic/be loose/fade/act
bouillir	to boil
briser	to break
se briser	to break
brosser [qch]	to brush/outline
se brosser [qch]	to brush your [sth]
broyer	to grind
brûler	to burn/set fire to/go through/discredit
se brûler	to be burnt
cacher	to hide/mask/suppress
se cacher	to hide
casser	to break/knock [sth] through/demote
se casser	to break
se casser [qch]	to break
causer	to make/talk
céder	to collapse/give in
céder [qch] à [qqn]	to sell [sth] to [sb]/pass [sth] on to [sb]
céder à	to give in to
célébrer	to perform
cesser	to stop
cesser de faire [qch]	to stop
changer	to change/be different/replace
changer [qch] en [qch]	to turn [sth] into [sth]/change [sth] for [sth]
changer de [qch]	to alter/switch
se changer	to change
se changer en	to become
chanter	to sing/sound/lift your spirits
charger	to load/charge/testify against [sb]/take
charger [qqn] de [qch]	to give [sb] [sth] to do
se charger de [qch]	to see to [sth]
se charger de faire [qch]	to will do [sth]
se charger	to charge
chasser	to go hunting/chase/blow/get rid of [sth]/dismiss/pull
cheminer	to walk/advance
chercher	to try to find [sth]/look/try to remember/try to think
se chercher	to look for each other
choisir	to select/appoint
chuchoter	to whisper
circoncire [qqn]	to circumcise
circonscrire	to contain/fix
circonvenir [qch]	to ring
clore	to close/shut off
coller	to stick/push
coller à [qqn]	to stick to [sb]/follow too closely behind [sb]
se coller	to huddle together
se coller [qch]	to be stuck doing [sth]
combattre	to fight
se combattre	to fight
commander	to be in charge of [sth]/call for/control/operate
commander à [qqn] de faire [qch]	to tell [sb] to do [sth]
se commander	to be controllable
commencer	to start/take up
commencer par [qch]	to lead with
commettre	to commit
commettre [qqn] à [qqn]	to appoint [sb] [sb]
comparaître	to go before
comparer	to compare
compléter [qch]	to complete/finish [sth] off/supplement/fill [sth] in/expand on [sth]
compléter	to complete
se compléter	to complement each other/be coming together
comprendre	to understand/include/consist of/interpret
se comprendre	to be understandable/understand each other
compter	to count/add up/have/allow/charge/keep an eye on [sth]
compter faire [qch]	to mean to do [sth]
compter sur [qch]	to expect
concevoir	to design/perceive/understand/feel
se concevoir	to be devised/be conceivable
conclure	to end/finalize/conclude/sum up/finish up
conclure à	to decide
se conclure	to end
concourir	to enter/contribute
conduire	to drive/lead/conduct/head/perform
se conduire	to behave
confire [qch]	to comfit
confondre	to confuse/foil/combine/astound
se confondre	to become mixed up
se confondre avec [qch]	to merge into [sth]
connaître	to know
connaître [qch]	to know
se connaître	to know each other
s'y connaître en	to know all about
conquérir	to conquer/win [sb] over
conseiller	to guide
conseiller [qch]	to advise/suggest
conseiller [qch] à [qqn]	to recommend [sth] to [sb]
conseiller [qqn]	to guide
conseiller [qqn] sur [qch]	to advise [sb] on [sth]
consentir	to grant
consentir à	to agree to [sth]
considérer	to consider/respect/view
se considérer	to to be
consommer	to have/use
construire	to build/elaborate
se construire	to be built up/shape your personality/be formed
contenir	to hold
se contenir	to contain yourself
conter	to tell
continuer	to carry on/keep going with [sth]
continuer à faire [qch]	to keep
continuer de faire [qch]	to still do [sth]
se continuer	to continue
contraindre [qqn] à faire [qch]	to force [sb] to do [sth]
contredire	to contradict/be at odds with
se contredire	to contradict yourself
contrevenir à	to break
contrôler	to inspect/curb/master/be in charge of [sth]
se contrôler	to control yourself
convaincre [qqn]	to convince
convaincre [qqn] de faire [qch]	to convince [sb] to do [sth]
convaincre [qqn] que	to persuade [sb]
se convaincre de [qch]	to be persuaded of [sth]
convenir à [qch]	to suit/be adapted to [sth]
convenir à [qqn]	to suit
convenir de [qch]	to admit to [sth]
convenir que	to admit
convenir de faire [qch]	to agree to do [sth]
se convenir	to be well suited
correspondre à [qch]	to equal/match/tally with [sth]
correspondre avec [qqn]	to correspond with [sb]
correspondre avec [qch]	to be linked with [sth]
correspondre	to match/be linked
corriger	to fix
corrompre	to bribe/subvert/adulterate
se corrompre	to be corrupted
